CONDITION,DATE,DAY OF WEEK,HIGH TEMP,HUMIDITY,LOW TEMP,PRESSURE,SEA LEVEL,STATION ID,WIND DEGREE DIRECTION,WIND SPEED
moderate rain,06/05/2019,Wed,80.96,79.0,79.14,1014.57,,4,172.0,2.86
overcast clouds,06/05/2019,Wed,78.67,81.0,77.45,1015.62,,4,175.0,1.68
overcast clouds,06/06/2019,Thu,77.31,83.0,76.71,1014.77,,4,164.0,2.75
overcast clouds,06/06/2019,Thu,75.29,87.0,75.29,1013.15,,4,154.0,4.18
overcast clouds,06/06/2019,Thu,77.63,83.0,77.63,1013.86,,4,176.0,4.47
light rain,06/06/2019,Thu,85.78,62.0,85.78,1014.4,,4,190.0,4.94
moderate rain,06/06/2019,Thu,89.74,57.0,89.74,1013.35,,4,237.0,1.66
light rain,06/06/2019,Thu,88.48,57.0,88.48,1012.17,,4,222.0,4.09
moderate rain,06/06/2019,Thu,82.0,78.0,82.0,1012.4,,4,110.0,3.33
light rain,06/06/2019,Thu,79.25,81.0,79.25,1013.64,,4,148.0,2.37
broken clouds,06/07/2019,Fri,78.14,83.0,78.14,1012.59,,4,246.0,0.63
overcast clouds,06/07/2019,Fri,76.73,85.0,76.73,1011.52,,4,98.0,1.41
overcast clouds,06/07/2019,Fri,79.07,81.0,79.07,1012.17,,4,155.0,3.33
overcast clouds,06/07/2019,Fri,87.2,61.0,87.2,1012.72,,4,180.0,6.49
light rain,06/07/2019,Fri,91.16,52.0,91.16,1011.94,,4,208.0,7.16
overcast clouds,06/07/2019,Fri,89.86,53.0,89.86,1010.34,,4,237.0,8.97
light rain,06/07/2019,Fri,82.67,74.0,82.67,1010.9,,4,275.0,5.73
light rain,06/07/2019,Fri,80.51,81.0,80.51,1012.63,,4,307.0,1.63
overcast clouds,06/08/2019,Sat,78.5,85.0,78.5,1011.72,,4,134.0,1.77
overcast clouds,06/08/2019,Sat,77.19,88.0,77.19,1010.98,,4,144.0,3.38
overcast clouds,06/08/2019,Sat,79.58,84.0,79.58,1012.17,,4,159.0,6.15
overcast clouds,06/08/2019,Sat,87.89,61.0,87.89,1013.14,,4,194.0,8.97
broken clouds,06/08/2019,Sat,92.67,48.0,92.67,1012.64,,4,231.0,9.82
